날짜,시그니처,설명,클래스,위험도,프로토콜,출발 IP,출발 포트,도착 IP,도착 포트
2026-06-03 17:26:59.572793,2210033,SURICATA STREAM FIN1 invalid ack,Generic Protocol Command Decode,3,TCP,10.0.2.2,39692,192.168.45.2,8006
2026-06-03 17:26:59.572793,2210045,SURICATA STREAM Packet with invalid ack,Generic Protocol Command Decode,3,TCP,10.0.2.2,39692,192.168.45.2,8006
2026-06-03 17:26:59.572802,2210033,SURICATA STREAM FIN1 invalid ack,Generic Protocol Command Decode,3,TCP,10.0.2.2,39692,192.168.45.2,8006
2026-06-03 17:26:59.572802,2210045,SURICATA STREAM Packet with invalid ack,Generic Protocol Command Decode,3,TCP,10.0.2.2,39692,192.168.45.2,8006
2026-06-03 17:26:59.604494,2210033,SURICATA STREAM FIN1 invalid ack,Generic Protocol Command Decode,3,TCP,10.0.2.2,39692,192.168.45.2,8006
2026-06-03 17:26:59.604494,2210045,SURICATA STREAM Packet with invalid ack,Generic Protocol Command Decode,3,TCP,10.0.2.2,39692,192.168.45.2,8006
2026-06-03 17:26:59.604980,2210032,SURICATA STREAM FIN1 FIN with wrong seq,Generic Protocol Command Decode,3,TCP,10.0.2.2,39692,192.168.45.2,8006
2026-06-03 17:26:59.605284,2210032,SURICATA STREAM FIN1 FIN with wrong seq,Generic Protocol Command Decode,3,TCP,192.168.45.2,8006,10.0.2.2,39692
2026-06-03 17:26:59.609813,2210033,SURICATA STREAM FIN1 invalid ack,Generic Protocol Command Decode,3,TCP,10.0.2.2,39692,192.168.45.2,8006
2026-06-03 17:26:59.609813,2210045,SURICATA STREAM Packet with invalid ack,Generic Protocol Command Decode,3,TCP,10.0.2.2,39692,192.168.45.2,8006
2026-06-03 17:36:37.103794,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,154.90.62.47,55792,192.168.45.3,5432
2026-06-03 17:36:41.339220,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,154.90.62.47,55792,192.168.45.3,1433
2026-06-03 17:36:42.440816,2010936,ET SCAN Suspicious inbound to Oracle SQL port 1521,Potentially Bad Traffic,2,TCP,154.90.62.47,55792,192.168.45.3,1521
2026-06-03 17:36:50.432215,2010937,ET SCAN Suspicious inbound to mySQL port 3306,Potentially Bad Traffic,2,TCP,154.90.62.47,55792,192.168.45.3,3306
2026-06-03 17:37:51.550709,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,8.215.25.14,55869,192.168.45.3,5432
2026-06-03 17:37:58.548707,2010937,ET SCAN Suspicious inbound to mySQL port 3306,Potentially Bad Traffic,2,TCP,8.215.25.14,55869,192.168.45.3,3306
